MUNICÍPIOS,UF,TOTAL EVENTOS,ÁREA EVENTOS(km²),ÁREA MUNICÍPIO(km²),EVENTOS/MUNICÍPIO(%),EVENTOS/100KM²,SEVERIDADE MÁX,SEVERIDADE MÉD
Balsas,MA,11,1946.3669,5997893.4324,0.000325,0.0325,38.94,14.09
Floriano,PI,10,1317.8851,935619.0056,0.001409,0.1409,50.07,25.82
Itaueira,PI,3,1119.4529,100303.03,0.011161,1.1161,58.57,41.05
Lagoa da Confusão,TO,9,654.2906,1905782.7085,0.000343,0.0343,39.13,20.57
Sandolândia,TO,2,638.312,92118.0782,0.006929,0.6929,56.79,33.42
Jerumenha,PI,7,604.6449,212745.5091,0.002842,0.2842,30.01,19.77
Cocos,BA,2,482.0798,183627.7397,0.002625,0.2625,34.2,28.56
Santa Maria das Barreiras,PA,7,377.0631,1230735.5264,0.000306,0.0306,42.2,28.95
Gaúcha do Norte,MT,5,344.6247,1098475.4997,0.000314,0.0314,20.15,14.84
Marcelândia,MT,3,310.7247,404841.213,0.000768,0.0768,36.26,25.32
Lagoa do Mato,MA,2,307.0784,30812.6717,0.009966,0.9966,44.89,28.8
Natividade,TO,2,224.3492,52433.7296,0.004279,0.4279,28.72,24.79
Canavieira,PI,3,222.4967,93763.6623,0.002373,0.2373,58.57,36.25
Santa Carmem,MT,3,196.9153,137851.3972,0.001428,0.1428,39.03,24.31
Correntina,BA,2,188.5703,196449.8007,0.00096,0.096,45.76,27.11
Tocantínia,TO,8,150.8294,251154.4871,0.000601,0.0601,15.73,10.47
Mirador,MA,6,149.0432,731971.4295,0.000204,0.0204,18.27,9.65
Querência,MT,4,141.2431,855390.1688,0.000165,0.0165,35.17,16.59
Nazaré do Piauí,PI,2,134.9993,13399.1885,0.010075,1.0075,39.42,30.01
Cristalândia,TO,4,133.3817,88909.5435,0.0015,0.15,38.22,21.54
Cotegipe,BA,1,128.0955,32471.3289,0.003945,0.3945,43.66,38.59
Carolina,MA,3,113.5062,116822.969,0.000972,0.0972,23.95,20.69
Pium,TO,4,106.8893,481400.2146,0.000222,0.0222,38.22,16.69
